ID,substrate,method,GCI,CPV,CV+,CV-,area,time,Fe_valence,Ni,Fe,dopant_Z,dopant_conc,pH,c_KOH,iR,cur_density,overpotential
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.006,0.00825,74,0.00075,4.0,1,0.9,50,251.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.006,0.00825,74,0.00075,4.0,1,0.9,100,266.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.00315,0.0108,74,0.00105,4.0,1,0.9,10,225.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.00315,0.0108,74,0.00105,4.0,1,0.9,50,255.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.00315,0.0108,74,0.00105,4.0,1,0.9,100,272.0
10.1002/celc.201600713,28,1,0.01,,,,1.0,60,2,0.008,0.008,,,5.0,1,1.0,10,260.0
10.1002/chem.202302055,28,1,0.39,,,,1.0,240,2,0.5,0.05,,,5.0,1,0.9,100,209.0
10.1002/chem.202302055,28,1,0.39,,,,1.0,240,2,0.5,0.2,,,5.0,1,0.9,10,201.0
10.1002/chem.202302055,28,1,0.39,,,,1.0,240,2,0.5,0.2,,,5.0,1,0.9,100,234.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.0063,0.0087,,,4.0,1,0.9,10,262.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.0063,0.0087,,,4.0,1,0.9,50,297.0
10.1002/cssc.202002544,28,1,0.002,,,,4.0,3600,3,0.0063,0.0087,,,4.0,1,0.9,100,318.0
10.19728/j.issn1672-6634.2022050006,6,3,,,-0.2,-1.0,1.0,6400,3,0.0002,5e-05,27,5e-05,3.0,1,0.9,10,297.0
10.19728/j.issn1672-6634.2022050006,6,3,,,-0.2,-1.0,1.0,6400,3,0.0001,5e-05,27,0.0001,3.0,1,0.9,10,327.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,,,2.5,1,0.95,20,252.0
10.1016/j.electacta.2017.12.110,28,3,,,-1.2,0.2,1.0,2240,3,0.003,0.003,,,2.5,1,0.95,50,272.0
10.1016/j.electacta.2019.01.151,28,1,0.02,,,,1.0,3600,2,0.38,0.108,,,4.0,6,0.9,10,333.0
10.1016/j.electacta.2021.138754,28,1,0.6,,,,1.0,120,2,0.38,0.0192,,,4.0,6,0.9,10,334.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.01,42,0.02,6.0,1,0.9,20,357.0
10.1016/j.ijhydene.2020.10.174,29,1,0.04,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,20,359.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,20,360.0
10.1016/j.jnoncrysol.2022.121598,29,1,0.5,,,,2.0,30,2,0.3,0.05,15,0.3,2.0,1,0.9,10,360.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.25,,,2.5,1,0.9,20,360.0
10.1016/j.jallcom.2020.154708,29,2,,-1.3,,,1.0,300,2,0.03,0.02,,,2.0,1,0.9,15,360.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.002,42,0.02,6.0,1,0.9,20,362.0
10.1016/j.ijhydene.2020.10.174,29,1,0.08,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,20,362.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.018,42,0.02,6.0,1,0.9,20,366.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.15,,,2.5,1,0.9,100,374.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.014,42,0.02,6.0,1,0.9,20,376.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.2,,,2.5,1,0.9,100,381.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.1,,,2.5,1,0.9,100,388.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.01,42,0.02,6.0,1,0.9,100,402.0
10.1016/j.ijhydene.2018.05.107,29,1,0.04,,,,1.0,3600,2,0.1065,0.036,,,8.0,6,0.9,10,405.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,100,408.0
10.1016/j.ijhydene.2023.08.143,28,2,,-2.0,,,1.0,300,2,0.5,0.5,,,5.0,1,0.9,10,234.0
10.1016/j.ijhydene.2023.08.143,28,2,,-2.0,,,1.0,300,2,0.5,0.5,,,5.0,1,0.9,50,265.0
10.1016/j.ijhydene.2023.08.143,28,2,,-2.0,,,1.0,300,2,0.5,0.5,,,5.0,1,0.9,100,286.0
10.1016/j.ijhydene.2023.10.112,28,1,8.0,,,,0.49,120,2,0.05,0.02,,,2.5,1,0.9,10,297.0
10.1016/j.inoche.2022.109350,28,1,0.25,,,,1.0,12,2,0.15,0.15,,,5.0,1,0.7,10,216.0
10.1016/j.inoche.2022.109350,28,1,0.25,,,,1.0,12,2,0.15,0.15,,,5.0,1,0.7,100,273.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.15,0.15,,,5.0,1,0.7,10,204.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.15,0.15,,,5.0,1,0.7,100,256.0
10.1016/j.inoche.2022.109350,28,1,0.75,,,,1.0,4,2,0.15,0.15,,,5.0,1,0.7,10,206.0
10.1016/j.inoche.2022.109350,28,1,0.75,,,,1.0,4,2,0.15,0.15,,,5.0,1,0.7,100,264.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.1,0.1,,,5.0,1,0.7,10,209.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.1,0.1,,,5.0,1,0.7,100,267.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.2,0.2,,,5.0,1,0.7,10,213.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.2,0.2,,,5.0,1,0.7,100,269.0
10.1016/j.inoche.2022.109350,28,1,0.25,,,,1.0,12,2,0.225,0.075,,,5.0,1,0.7,10,199.0
10.1016/j.inoche.2022.109350,28,1,0.25,,,,1.0,12,2,0.225,0.075,,,5.0,1,0.7,100,267.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.2,0.1,,,5.0,1,0.7,10,206.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.2,0.1,,,5.0,1,0.7,100,262.0
10.1016/j.inoche.2022.109350,28,1,0.75,,,,1.0,4,2,0.1,0.2,,,5.0,1,0.7,10,248.0
10.1016/j.inoche.2022.109350,28,1,0.75,,,,1.0,4,2,0.1,0.2,,,5.0,1,0.7,100,284.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.075,0.225,,,5.0,1,0.7,10,270.0
10.1016/j.inoche.2022.109350,28,1,0.5,,,,1.0,6,2,0.075,0.225,,,5.0,1,0.7,100,302.0
10.1016/j.ijhydene.2020.10.174,29,1,0.04,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,100,414.0
10.1039/d4nj00797b,29,1,0.03,,,,1.0,300,2,0.0001,0.0007,,,1.0,1,1.0,10,416.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.05,,,2.5,1,0.9,100,417.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.002,42,0.02,6.0,1,0.9,100,418.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.018,42,0.02,6.0,1,0.9,100,423.0
10.1016/j.ijhydene.2020.10.174,29,1,0.08,,,,1.0,3600,2,0.1,0.006,42,0.02,6.0,1,0.9,100,423.0
10.1016/j.jechem.2022.01.020,28,2,,-1.0,,,1.0,600,3,0.001,0.001,,,2.5,1,0.9,10,225.0
10.1016/j.jechem.2022.01.020,28,2,,-1.0,,,1.0,600,3,0.002,0.001,,,2.5,1,0.9,10,200.0
10.1016/j.jechem.2022.01.020,28,2,,-1.0,,,1.0,600,3,0.003,0.001,,,2.5,1,0.9,10,246.0
10.1016/j.jechem.2022.01.020,28,2,,-1.0,,,1.0,300,3,0.002,0.001,,,2.5,1,0.9,10,224.0
10.1016/j.jechem.2022.01.020,28,2,,-1.0,,,1.0,900,3,0.002,0.001,,,2.5,1,0.9,10,220.0
